cod_radio,pob_total,pob_adulta_mayor,pct_adulta_mayor
020070101,244,20,8.2
020070201,620,22,3.55
020070202,483,18,3.73
020070203,290,11,3.79
020070204,577,30,5.2
020070205,673,29,4.31
020070207,862,30,3.48
020070208,645,16,2.48
020070209,464,13,2.8
020070210,375,20,5.33
020070211,627,34,5.42
020070212,1136,36,3.17
020070213,461,31,6.72
020070214,556,35,6.29
020070215,712,34,4.78
020070216,358,19,5.31
020070217,670,27,4.03
020070218,545,26,4.77
020070219,343,13,3.79
020070220,325,14,4.31
020070221,1136,28,2.46
020070222,936,23,2.46
020070223,965,30,3.11
020070301,451,6,1.33
020070302,1463,61,4.17
020070303,405,18,4.44
020070304,443,10,2.26
020070305,975,32,3.28
020070306,376,9,2.39
020070307,960,24,2.5
020070308,903,18,1.99
020070309,560,18,3.21
020070310,1374,31,2.26
020070311,658,19,2.89
020070312,683,41,6.0
020070313,528,21,3.98
020070314,585,6,1.03
020070315,781,21,2.69
020070316,374,6,1.6
020070317,547,8,1.46
020070318,293,3,1.02
020070319,364,12,3.3
020070401,866,208,24.02
020070402,1093,252,23.06
020070403,551,155,28.13
020070404,714,244,34.17
020070405,364,121,33.24
020070406,695,208,29.93
020070407,678,196,28.91
020070408,708,194,27.4
020070501,755,198,26.23
020070502,541,108,19.96
020070503,1001,200,19.98
020070504,1014,247,24.36
020070505,535,90,16.82
020070506,876,178,20.32
020070507,673,156,23.18
020070601,863,267,30.94
020070602,667,155,23.24
020070603,1002,304,30.34
020070604,837,202,24.13
020070605,421,81,19.24
020070606,550,165,30.0
020070607,533,129,24.2
020070608,538,119,22.12
020070609,1182,320,27.07
020070610,597,149,24.96
020070701,779,149,19.13
020070702,280,65,23.21
020070703,262,39,14.89
020070704,353,50,14.16
020070705,404,74,18.32
020070706,343,63,18.37
020070707,733,114,15.55
020070708,567,86,15.17
020070709,492,73,14.84
020070710,627,74,11.8
020070711,347,56,16.14
020070712,481,110,22.87
020070713,282,32,11.35
020070801,498,95,19.08
020070802,1106,236,21.34
020070803,746,169,22.65
020070804,555,93,16.76
020070805,440,62,14.09
020070806,1104,221,20.02
020070807,1222,273,22.34
020070808,589,87,14.77
020070809,463,97,20.95
020070810,331,53,16.01
020070811,301,109,36.21
020070901,529,87,16.45
020070902,631,95,15.06
020070903,520,92,17.69
020070904,517,68,13.15
020070905,592,76,12.84
020070906,711,81,11.39
020070907,864,92,10.65
020070908,607,85,14.0
020070909,1003,105,10.47
020070910,521,81,15.55
020070911,402,41,10.2
020070912,304,37,12.17
020070913,791,35,4.42
020070914,519,62,11.95
020070915,380,54,14.21
020070916,554,48,8.66
020070917,245,27,11.02
020070918,444,38,8.56
020070919,260,33,12.69
020070920,637,39,6.12
020070921,369,39,10.57
020071001,409,71,17.36
020071002,696,114,16.38
020071003,893,147,16.46
020071004,610,106,17.38
020071005,590,105,17.8
020071006,949,126,13.28
020071007,451,68,15.08
020071008,528,55,10.42
020071009,635,95,14.96
020071010,893,107,11.98
020071011,873,143,16.38
020071012,681,103,15.12
020071013,624,88,14.1
020071014,399,32,8.02
020071015,296,47,15.88
020071016,328,37,11.28
020071101,503,73,14.51
020071102,713,87,12.2
020071103,425,42,9.88
020071104,755,92,12.19
020071105,575,75,13.04
020071106,474,82,17.3
020071107,623,93,14.93
020071108,729,126,17.28
020071109,469,68,14.5
020071110,541,95,17.56
020071111,370,53,14.32
020071112,424,35,8.25
020071113,531,97,18.27
020071114,658,99,15.05
020071115,616,98,15.91
020071201,337,32,9.5
020071202,430,45,10.47
