cod_radio,pob_total,pob_infantil,pct_infantil
020070101,244,61,25.0
020070201,620,178,28.71
020070202,483,153,31.68
020070203,290,98,33.79
020070204,577,142,24.61
020070205,673,208,30.91
020070207,862,213,24.71
020070208,645,168,26.05
020070209,464,125,26.94
020070210,375,85,22.67
020070211,627,152,24.24
020070212,1136,299,26.32
020070213,461,93,20.17
020070214,556,111,19.96
020070215,712,173,24.3
020070216,358,72,20.11
020070217,670,150,22.39
020070218,545,132,24.22
020070219,343,76,22.16
020070220,325,78,24.0
020070221,1136,384,33.8
020070222,936,285,30.45
020070223,965,340,35.23
020070301,451,170,37.69
020070302,1463,433,29.6
020070303,405,136,33.58
020070304,443,140,31.6
020070305,975,286,29.33
020070306,376,106,28.19
020070307,960,322,33.54
020070308,903,276,30.56
020070309,560,175,31.25
020070310,1374,428,31.15
020070311,658,199,30.24
020070312,683,181,26.5
020070313,528,146,27.65
020070314,585,186,31.79
020070315,781,251,32.14
020070316,374,123,32.89
020070317,547,173,31.63
020070318,293,79,26.96
020070319,364,108,29.67
020070401,866,87,10.05
020070402,1093,130,11.89
020070403,551,65,11.8
020070404,714,114,15.97
020070405,364,43,11.81
020070406,695,112,16.12
020070407,678,70,10.32
020070408,708,99,13.98
020070501,755,122,16.16
020070502,541,74,13.68
020070503,1001,111,11.09
020070504,1014,154,15.19
020070505,535,101,18.88
020070506,876,101,11.53
020070507,673,71,10.55
020070601,863,107,12.4
020070602,667,89,13.34
020070603,1002,100,9.98
020070604,837,76,9.08
020070605,421,41,9.74
020070606,550,62,11.27
020070607,533,80,15.01
020070608,538,70,13.01
020070609,1182,158,13.37
020070610,597,61,10.22
020070701,779,90,11.55
020070702,280,29,10.36
020070703,262,19,7.25
020070704,353,28,7.93
020070705,404,31,7.67
020070706,343,33,9.62
020070707,733,66,9.0
020070708,567,50,8.82
020070709,492,41,8.33
020070710,627,51,8.13
020070711,347,30,8.65
020070712,481,51,10.6
020070713,282,25,8.87
020070801,498,51,10.24
020070802,1106,111,10.04
020070803,746,70,9.38
020070804,555,52,9.37
020070805,440,33,7.5
020070806,1104,130,11.78
020070807,1222,153,12.52
020070808,589,95,16.13
020070809,463,52,11.23
020070810,331,29,8.76
020070811,301,28,9.3
020070901,529,58,10.96
020070902,631,63,9.98
020070903,520,77,14.81
020070904,517,61,11.8
020070905,592,62,10.47
020070906,711,77,10.83
020070907,864,89,10.3
020070908,607,63,10.38
020070909,1003,139,13.86
020070910,521,61,11.71
020070911,402,57,14.18
020070912,304,30,9.87
020070913,791,195,24.65
020070914,519,62,11.95
020070915,380,52,13.68
020070916,554,90,16.25
020070917,245,20,8.16
020070918,444,52,11.71
020070919,260,25,9.62
020070920,637,78,12.24
020070921,369,43,11.65
020071001,409,60,14.67
020071002,696,78,11.21
020071003,893,112,12.54
020071004,610,72,11.8
020071005,590,68,11.53
020071006,949,128,13.49
020071007,451,47,10.42
020071008,528,68,12.88
020071009,635,79,12.44
020071010,893,114,12.77
020071011,873,92,10.54
020071012,681,75,11.01
020071013,624,63,10.1
020071014,399,53,13.28
020071015,296,20,6.76
020071016,328,27,8.23
020071101,503,32,6.36
020071102,713,70,9.82
020071103,425,52,12.24
020071104,755,90,11.92
020071105,575,72,12.52
020071106,474,47,9.92
020071107,623,50,8.03
020071108,729,78,10.7
020071109,469,51,10.87
020071110,541,59,10.91
020071111,370,41,11.08
020071112,424,33,7.78
020071113,531,48,9.04
020071114,658,90,13.68
020071115,616,77,12.5
020071201,337,47,13.95
020071202,430,49,11.4
020071203,296,32,10.81
020071204,473,55,11.63
020071205,499,50,10.02
020071206,601,69,11.48
020071207,1020,139,13.63
020071208,300,23,7.67
020071209,586,71,12.12
020071210,392,40,10.2
020071211,516,64,12.4
020071212,412,46,11.17
020071213,379,24,6.33
020071214,519,64,12.33
020071301,567,83,14.64
020071302,226,38,16.81
020071303,323,31,9.6
020071304,621,103,16.59
020071305,558,65,11.65
020071306,422,64,15.17
020071307,1068,178,16.67
020071308,493,61,12.37
020071309,562,92,16.37
020071310,1122,192,17.11
020071311,439,65,14.81
020071312,539,64,11.87
020071313,291,46,15.81
020071314,650,96,14.77
020071315,659,89,13.51
020071316,998,232,23.25
020071317,720,195,27.08
020071318,677,200,29.54
020071401,629,73,11.61
020071402,821,131,15.96
020071403,369,40,10.84
020071404,344,41,11.92
020071405,737,89,12.08
020071406,664,85,12.8
020071407,657,88,13.39
020071408,449,63,14.03
020071409,502,63,12.55
020071410,474,54,11.39
020071411,350,32,9.14
020071412,428,51,11.92
020071501,774,99,12.79
020071502,781,77,9.86
020071503,586,68,11.6
020071504,1007,103,10.23
020071505,554,58,10.47
020071506,609,61,10.02
020071507,587,61,10.39
020071508,838,165,19.69
020071509,992,129,13.0
020071510,739,105,14.21
020071511,594,60,10.1
020071601,558,57,10.22
020071602,368,39,10.6
020071603,738,79,10.7
020071604,588,57,9.69
020071605,330,42,12.73
020071606,495,92,18.59
020071607,1010,141,13.96
020071608,485,58,11.96
020071609,319,29,9.09
020071610,549,56,10.2
020071611,381,55,14.44
020071612,334,47,14.07
020071701,1005,132,13.13
020071702,448,54,12.05
020071703,657,49,7.46
020071704,578,60,10.38
020071705,615,56,9.11
020071706,956,87,9.1
020071707,668,81,12.13
020071708,691,104,15.05
020071709,446,52,11.66
020071710,627,78,12.44
020071711,451,46,10.2
020071801,1102,115,10.44
020071802,832,92,11.06
020071803,708,114,16.1
020071804,1181,149,12.62
020071805,767,92,11.99
020071806,985,147,14.92
020071807,636,80,12.58
020071808,696,89,12.79
020071809,846,103,12.17
020071901,990,145,14.65
020071902,1003,116,11.57
020071903,353,60,17.0
020071904,780,85,10.9
020071905,442,50,11.31
020071906,601,66,10.98
020071907,738,71,9.62
020071908,424,57,13.44
020071909,569,89,15.64
020072001,557,75,13.46
020072002,783,120,15.33
020072003,736,120,16.3
020072004,724,110,15.19
020072005,776,91,11.73
020072006,585,75,12.82
020072007,503,57,11.33
020072008,657,69,10.5
020072009,656,94,14.33
020072010,884,165,18.67
020072101,472,68,14.41
020072102,762,108,14.17
020072103,680,71,10.44
020072104,1114,152,13.64
020072105,777,118,15.19
020072106,631,87,13.79
020072107,772,113,14.64
020072108,503,68,13.52
