cod_radio,hogares_total,hogares_nbi,pct_nbi
020070101,106,19,17.92
020070201,231,25,10.82
020070202,170,40,23.53
020070203,102,28,27.45
020070204,211,24,11.37
020070205,229,37,16.16
020070207,319,77,24.14
020070208,249,45,18.07
020070209,188,35,18.62
020070210,127,22,17.32
020070211,249,42,16.87
020070212,423,82,19.39
020070213,171,30,17.54
020070214,244,65,26.64
020070215,279,75,26.88
020070216,154,32,20.78
020070217,259,60,23.17
020070218,201,31,15.42
020070219,122,31,25.41
020070220,139,66,47.48
020070221,367,18,4.9
020070222,321,23,7.17
020070223,296,41,13.85
020070301,130,13,10.0
020070302,547,106,19.38
020070303,149,34,22.82
020070304,175,23,13.14
020070305,346,52,15.03
020070306,146,18,12.33
020070307,316,104,32.91
020070308,321,75,23.36
020070309,214,66,30.84
020070310,487,89,18.28
020070311,230,27,11.74
020070312,237,51,21.52
020070313,186,45,24.19
020070314,205,44,21.46
020070315,267,63,23.6
020070316,143,29,20.28
020070317,181,26,14.36
020070318,111,8,7.21
020070319,123,23,18.7
020070401,493,5,1.01
020070402,551,25,4.54
020070403,268,4,1.49
020070404,302,7,2.32
020070405,167,3,1.8
020070406,322,14,4.35
020070407,315,3,0.95
020070408,325,17,5.23
020070501,334,9,2.69
020070502,257,4,1.56
020070503,523,12,2.29
020070504,465,5,1.08
020070505,220,2,0.91
020070506,480,6,1.25
020070507,338,3,0.89
020070601,394,4,1.02
020070602,314,2,0.64
020070603,497,1,0.2
020070604,465,6,1.29
020070605,223,4,1.79
020070606,270,2,0.74
020070607,232,5,2.16
020070608,293,1,0.34
020070609,526,11,2.09
020070610,284,4,1.41
020070701,393,3,0.76
020070702,154,3,1.95
020070703,143,7,4.9
020070704,210,5,2.38
020070705,260,0,0.0
020070706,183,10,5.46
020070707,413,7,1.69
020070708,337,5,1.48
020070709,287,2,0.7
020070710,372,8,2.15
020070711,188,4,2.13
020070712,262,11,4.2
020070713,149,4,2.68
020070801,274,8,2.92
020070802,618,6,0.97
020070803,406,5,1.23
020070804,296,2,0.68
020070805,269,4,1.49
020070806,606,10,1.65
020070807,618,5,0.81
020070808,292,11,3.77
020070809,248,4,1.61
020070810,187,3,1.6
020070811,142,2,1.41
020070901,259,10,3.86
020070902,345,59,17.1
020070903,234,19,8.12
020070904,254,20,7.87
020070905,260,28,10.77
020070906,354,20,5.65
020070907,467,36,7.71
020070908,309,13,4.21
020070909,483,17,3.52
020070910,278,4,1.44
020070911,207,8,3.86
020070912,148,8,5.41
020070913,277,11,3.97
020070914,271,50,18.45
020070915,197,9,4.57
020070916,255,22,8.63
020070917,153,4,2.61
020070918,241,13,5.39
020070919,141,5,3.55
020070920,316,73,23.1
020070921,187,30,16.04
020071001,193,6,3.11
020071002,353,17,4.82
020071003,458,17,3.71
020071004,301,12,3.99
020071005,286,9,3.15
020071006,447,55,12.3
020071007,216,22,10.19
020071008,276,17,6.16
020071009,302,14,4.64
020071010,435,23,5.29
020071011,460,25,5.43
020071012,377,10,2.65
020071013,342,21,6.14
020071014,195,11,5.64
020071015,163,2,1.23
020071016,188,2,1.06
020071101,303,39,12.87
020071102,433,52,12.01
020071103,246,101,41.06
020071104,412,22,5.34
020071105,292,29,9.93
020071106,277,8,2.89
020071107,354,37,10.45
020071108,390,9,2.31
020071109,255,13,5.1
020071110,284,24,8.45
020071111,183,3,1.64
020071112,268,12,4.48
020071113,288,11,3.82
020071114,341,9,2.64
020071115,339,64,18.88
020071201,185,17,9.19
